site;dominio;ranking;understandability
Google;geeks;Top1;0.5333333333333333
Bing;geeks;Top1;0.5333333333333333
Yahoo;geeks;Top1;0.5333333333333333
Yahoo;tuto;Top1;0.8
Bing;tuto;Top1;0.8
Yahoo;stack;Top1;0.9333333333333333
Bing;stack;Top2;0.9333333333333333
Bing;stack;Top1;0.9333333333333333
Yahoo;stack;Top1;0.9333333333333333
Yahoo;stack;Top4;1
Bing;stack;Top5;1
Google;stack;Top3;0.8666666666666667
Google;stack;Top4;0.9333333333333333
Google;tuto;Top2;1
Yahoo;stack;Top4;1
Yahoo;code;Top2;1
Bing;stack;Top4;1
Yahoo;tuto;Top3;1
Bing;tuto;Top1;0.9333333333333333
Yahoo;tuto;Top1;0.9333333333333333
Bing;code;Top2;1
Bing;tuto;Top3;1
Yahoo;code;Top5;1
Bing;code;Top5;1
Yahoo;stack;Top5;1
Bing;stack;Top1;1
Yahoo;stack;Top1;1
Bing;stack;Top5;1
Bing;stack;Top3;1
Yahoo;stack;Top3;1
Bing;geeks;Top4;1
Yahoo;geeks;Top4;1
Bing;javat;Top5;0.9333333333333333
Google;stack;Top1;1
Bing;tuto;Top2;0.8
Yahoo;tuto;Top1;0.8
Bing;stack;Top1;1
Yahoo;stack;Top1;1
Google;stack;Top1;0.8
Bing;stack;Top1;0.8
Yahoo;stack;Top1;0.8
Yahoo;stack;Top1;1
Bing;stack;Top1;1
Google;stack;Top1;1
Yahoo;stack;Top5;1
Yahoo;stack;Top2;1
Bing;stack;Top5;1
Bing;stack;Top2;1
Bing;tuto;Top3;0.9333333333333333
Google;stack;Top2;0.8666666666666667
Yahoo;tuto;Top3;0.9333333333333333
Yahoo;stack;Top4;1
Bing;stack;Top5;1
Bing;stack;Top3;1
Google;stack;Top1;1
Yahoo;stack;Top3;1
Google;geeks;Top1;0.6666666666666667
Yahoo;tuto;Top2;1
Bing;tuto;Top4;1
Yahoo;stack;Top2;1
Yahoo;stack;Top3;1
Bing;stack;Top2;1
Bing;geeks;Top1;0.9333333333333333
Google;geeks;Top2;0.9333333333333333
Google;geeks;Top1;0.9333333333333333
Google;stack;Top3;0.9333333333333333
Yahoo;geeks;Top1;0.9333333333333333
Google;stack;Top1;0.9333333333333333
Bing;stack;Top1;0.9333333333333333
Yahoo;stack;Top1;0.9333333333333333
Bing;stack;Top3;1
Yahoo;stack;Top3;1
Google;stack;Top1;1
Yahoo;geeks;Top5;1
Bing;geeks;Top5;1
Yahoo;stack;Top1;1
Bing;stack;Top1;1
Google;stack;Top2;0.9333333333333333
Bing;javat;Top2;1
Yahoo;javat;Top1;1
Google;javat;Top5;1
Google;stack;Top3;1
Bing;stack;Top1;1
Yahoo;stack;Top1;1
Bing;javat;Top3;1
Google;javat;Top1;1
Yahoo;code;Top5;1
Bing;geeks;Top1;1
Google;geeks;Top3;1
Yahoo;geeks;Top2;1
Yahoo;tuto;Top3;1
Bing;stack;Top2;1
Yahoo;stack;Top2;1
Google;stack;Top1;1
Bing;geeks;Top1;1
Yahoo;geeks;Top1;1
Google;geeks;Top2;1
Bing;javat;Top4;0.8
Yahoo;geeks;Top1;0.9333333333333333
Bing;geeks;Top1;0.9333333333333333
Yahoo;javat;Top4;0.8
Google;geeks;Top1;0.9333333333333333
Yahoo;stack;Top2;1
Bing;geeks;Top5;1
Yahoo;code;Top5;1
Bing;geeks;Top5;0.9333333333333333
Yahoo;geeks;Top4;0.9333333333333333
Bing;stack;Top1;0.9333333333333333
Yahoo;stack;Top1;0.9333333333333333
Yahoo;geeks;Top4;1
Google;javat;Top4;1
Bing;geeks;Top4;1
Google;geeks;Top2;1
Yahoo;tuto;Top3;0.9333333333333333
Bing;tuto;Top3;0.9333333333333333
Bing;code;Top4;0.9333333333333333
Bing;stack;Top5;0.9333333333333333
Yahoo;code;Top4;1
Yahoo;code;Top5;1
Bing;code;Top4;1
Google;code;Top3;1
Bing;code;Top5;1
Google;code;Top4;1
Yahoo;stack;Top1;1
Google;stack;Top1;1
Bing;stack;Top1;1
Google;stack;Top1;1
Bing;stack;Top1;1
Yahoo;stack;Top1;1
Google;code;Top5;1
Bing;stack;Top1;1
Bing;tuto;Top2;0.8
Google;stack;Top3;1
Yahoo;stack;Top1;1
Yahoo;tuto;Top2;0.8
Google;geeks;Top3;0.9333333333333333
Bing;geeks;Top1;1
Google;geeks;Top1;1
Yahoo;geeks;Top1;1
Bing;geeks;Top5;0.9333333333333333
Yahoo;tuto;Top5;0.9333333333333333
Bing;geeks;Top2;1
Bing;javat;Top1;0.6
Yahoo;javat;Top1;0.6
Google;javat;Top1;0.6
Bing;stack;Top1;1
Google;stack;Top4;1
Yahoo;stack;Top1;1
Yahoo;javat;Top3;0.6
Bing;stack;Top4;0
Yahoo;stack;Top4;0
Bing;javat;Top2;0.6
Google;javat;Top1;0.6
Google;stack;Top2;0
Yahoo;stack;Top4;0
Bing;javat;Top2;0.6
Google;javat;Top1;0.6
Yahoo;javat;Top3;0.6
Google;stack;Top2;0
Yahoo;stack;Top2;1
Google;stack;Top2;1
Bing;stack;Top2;1
Yahoo;stack;Top5;1
Google;stack;Top3;1
Bing;stack;Top3;0.7333333333333334
Google;stack;Top1;1
Bing;geeks;Top2;0.9333333333333333
Yahoo;geeks;Top2;0.9333333333333333
Google;geeks;Top3;0.9333333333333333
Google;tuto;Top4;1
Google;geeks;Top3;1
Bing;geeks;Top1;1
Yahoo;geeks;Top1;1
Google;geeks;Top2;0.6666666666666667
Bing;tuto;Top1;1
Yahoo;tuto;Top2;1
Bing;stack;Top2;0.9333333333333333
Bing;stack;Top4;1
Bing;stack;Top1;0.9333333333333333
Bing;stack;Top3;1
Yahoo;stack;Top4;1
Google;stack;Top2;1
Yahoo;stack;Top5;1
Bing;stack;Top5;1
Google;geeks;Top3;0.8666666666666667
Yahoo;geeks;Top4;1
Bing;geeks;Top4;1
Yahoo;tuto;Top3;1
Bing;stack;Top5;1
Google;geeks;Top2;1
Bing;tuto;Top3;1
Yahoo;javat;Top1;0.5333333333333333
Google;javat;Top2;0.5333333333333333
Bing;javat;Top1;0.5333333333333333
Google;stack;Top3;1
Google;geeks;Top2;1
Bing;stack;Top1;1
Bing;geeks;Top2;1
Google;stack;Top1;1
Yahoo;stack;Top1;1
Yahoo;geeks;Top2;1
Google;geeks;Top1;0.6666666666666667
Google;code;Top3;0.9333333333333333
Bing;tuto;Top3;0.8666666666666667
Yahoo;geeks;Top1;0.6666666666666667
Bing;geeks;Top1;0.6666666666666667
Yahoo;stack;Top5;0.5333333333333333
Bing;tuto;Top3;1
Bing;code;Top2;0.8666666666666667
Bing;stack;Top5;0.5333333333333333
Yahoo;tuto;Top3;1
Google;stack;Top1;1
Yahoo;code;Top2;0.8666666666666667
Yahoo;code;Top5;1
Yahoo;stack;Top3;0.6666666666666667
Yahoo;code;Top4;0.5333333333333333
Google;geeks;Top1;0.6666666666666667
Bing;stack;Top3;0.6666666666666667
Bing;code;Top5;1
Bing;code;Top4;0.5333333333333333
Yahoo;stack;Top1;1
Bing;geeks;Top2;1
Bing;geeks;Top5;0.9333333333333333
Bing;stack;Top1;1
Yahoo;geeks;Top2;1
Google;stack;Top3;0
Yahoo;tuto;Top2;1
Bing;tuto;Top1;1
Google;geeks;Top4;0.6666666666666667
Bing;code;Top5;0.5333333333333333
Yahoo;geeks;Top5;0.6666666666666667
Bing;tuto;Top1;1
Google;javat;Top5;0.8666666666666667
Yahoo;tuto;Top1;1
Yahoo;javat;Top3;1
Bing;javat;Top4;1
Bing;stack;Top1;1
Yahoo;stack;Top1;1
Google;stack;Top2;0.8666666666666667
Google;javat;Top1;1
Bing;stack;Top3;1
Bing;stack;Top5;1
Google;geeks;Top1;1
Google;stack;Top3;1
Yahoo;stack;Top5;1
Yahoo;stack;Top1;1
Bing;stack;Top1;1
Bing;stack;Top1;1
Yahoo;stack;Top1;1
Google;stack;Top1;1
Yahoo;stack;Top2;1
Yahoo;stack;Top5;0.9333333333333333
Bing;stack;Top4;0.9333333333333333
Yahoo;stack;Top3;1
Yahoo;stack;Top5;0.6
Bing;stack;Top1;0.9333333333333333
Bing;stack;Top4;1
Google;stack;Top1;0.9333333333333333
Bing;stack;Top2;0.9333333333333333
Yahoo;stack;Top2;0.9333333333333333
Yahoo;stack;Top1;0.9333333333333333
Yahoo;stack;Top4;1
Google;geeks;Top2;1
Google;javat;Top4;0.4666666666666667
Yahoo;geeks;Top2;1
Bing;geeks;Top2;1
Google;geeks;Top2;1
Yahoo;geeks;Top1;1
Bing;geeks;Top1;1
Bing;javat;Top3;1
Bing;geeks;Top2;1
Google;code;Top1;1
Yahoo;code;Top4;1
Google;stack;Top5;1
Bing;code;Top1;1
Yahoo;geeks;Top1;1
Bing;stack;Top1;0.8666666666666667
Google;stack;Top2;1
Yahoo;stack;Top1;0.8666666666666667
Google;stack;Top4;0.1333333333333333
Google;javat;Top1;0.6
Yahoo;tuto;Top1;0.9333333333333333
Bing;stack;Top2;0.9333333333333333
Yahoo;stack;Top2;0.9333333333333333
Google;tuto;Top5;0.9333333333333333
Bing;tuto;Top1;0.9333333333333333
Yahoo;stack;Top1;1
Google;stack;Top1;1
Bing;stack;Top1;1
Yahoo;stack;Top4;0.5333333333333333
Bing;geeks;Top5;1
Bing;tuto;Top3;1
Yahoo;javat;Top2;1
Google;javat;Top1;1
Yahoo;tuto;Top3;1
Bing;javat;Top2;1
Bing;geeks;Top1;0.9333333333333333
Google;stack;Top1;1
Yahoo;geeks;Top1;0.9333333333333333
Bing;javat;Top3;1
Bing;stack;Top5;1
Google;javat;Top1;1
Yahoo;javat;Top3;1
Yahoo;stack;Top5;1
Yahoo;geeks;Top3;0.9333333333333333
Bing;geeks;Top3;0.9333333333333333
Google;geeks;Top4;0.9333333333333333
Google;javat;Top3;0.7333333333333334
Bing;geeks;Top3;1
Yahoo;geeks;Top4;1
Google;geeks;Top2;1
Yahoo;javat;Top5;0.7333333333333334
Yahoo;code;Top4;1
Yahoo;geeks;Top1;0.9333333333333333
Bing;geeks;Top1;0.9333333333333333
Google;geeks;Top1;0.9333333333333333
Google;tuto;Top5;1
Bing;code;Top4;1
Google;javat;Top3;1
Yahoo;geeks;Top5;0.6666666666666667
Yahoo;stack;Top1;1
Bing;stack;Top1;1
Bing;tuto;Top1;0.8666666666666667
Google;stack;Top2;0.9333333333333333
Google;tuto;Top4;0.8666666666666667
Yahoo;tuto;Top1;0.8666666666666667
Bing;tuto;Top5;0.9333333333333333
Yahoo;tuto;Top3;0.9333333333333333
Bing;geeks;Top1;0.9333333333333333
Google;geeks;Top4;0.9333333333333333
Yahoo;geeks;Top1;0.9333333333333333
Bing;geeks;Top2;0.9333333333333333
Google;geeks;Top1;0.9333333333333333
Bing;stack;Top4;1
Google;stack;Top4;1
Yahoo;geeks;Top1;0.9333333333333333
Yahoo;stack;Top4;1
Yahoo;stack;Top5;1
Yahoo;tuto;Top3;1
Google;stack;Top2;1
Yahoo;geeks;Top2;1
Bing;tuto;Top3;1
Bing;geeks;Top2;1
Bing;stack;Top5;1
Google;geeks;Top1;1
Bing;geeks;Top1;1
Yahoo;geeks;Top1;1
Google;stack;Top4;1
Yahoo;geeks;Top4;1
Bing;geeks;Top4;1
Yahoo;geeks;Top2;1
Bing;geeks;Top3;1
Yahoo;geeks;Top3;1
Bing;geeks;Top5;1
Bing;geeks;Top3;1
Google;stack;Top1;1
Google;stack;Top4;1
Bing;stack;Top1;0.8666666666666667
Bing;javat;Top1;0.6
Bing;geeks;Top2;0.8
Google;stack;Top5;0.8
Google;javat;Top4;0.6
Yahoo;geeks;Top3;0.8
Bing;stack;Top4;1
Google;geeks;Top2;0.8
Yahoo;stack;Top2;1
Yahoo;stack;Top5;0.9333333333333333
Google;stack;Top1;1
Google;geeks;Top5;0.9333333333333333
Yahoo;geeks;Top1;1
Bing;tuto;Top5;0.8
Google;geeks;Top2;1
Google;javat;Top5;0.4666666666666667
Bing;geeks;Top1;1
Yahoo;tuto;Top5;0.8
Google;stack;Top3;1
Google;geeks;Top5;1
Bing;tuto;Top3;0.9333333333333333
Bing;stack;Top2;1
Yahoo;tuto;Top3;0.9333333333333333
Bing;code;Top4;1
Google;code;Top1;1
Google;stack;Top2;1
Yahoo;code;Top5;1
Yahoo;stack;Top1;1
Bing;javat;Top1;0.9333333333333333
Google;geeks;Top4;0.8666666666666667
Yahoo;javat;Top2;0.9333333333333333
Google;stack;Top2;1
Yahoo;stack;Top5;1
Bing;stack;Top5;1
Bing;stack;Top2;1
Yahoo;stack;Top2;1
Google;stack;Top1;1
Bing;stack;Top5;0.9333333333333333
Yahoo;stack;Top4;0.9333333333333333
Google;stack;Top2;1
Yahoo;stack;Top2;0.9333333333333333
Bing;stack;Top2;0.8
Bing;stack;Top4;0.9333333333333333
Yahoo;stack;Top5;1
Bing;stack;Top5;1
Google;stack;Top5;1
Yahoo;stack;Top4;1
Bing;stack;Top2;1
Google;stack;Top1;0.9333333333333333
Google;stack;Top5;0.9333333333333333
Yahoo;code;Top5;1
Yahoo;geeks;Top3;0.8
Bing;geeks;Top1;0.9333333333333333
Bing;geeks;Top3;0.8
Bing;javat;Top5;1
Google;stack;Top5;1
Bing;code;Top2;1
Google;javat;Top4;1
Yahoo;code;Top2;1
Google;geeks;Top2;1
Yahoo;geeks;Top5;1
Bing;geeks;Top4;1
Google;stack;Top2;1
Google;stack;Top1;1
Google;geeks;Top4;1
Yahoo;geeks;Top4;1
Yahoo;stack;Top2;1
Yahoo;code;Top5;0.5333333333333333
Google;tuto;Top3;1
Bing;stack;Top4;1
Bing;geeks;Top3;1
Google;stack;Top2;1
Yahoo;geeks;Top4;1
Bing;geeks;Top4;1
Yahoo;tuto;Top1;1
Bing;tuto;Top1;1
Bing;javat;Top2;1
Yahoo;javat;Top1;1
Bing;tuto;Top3;1
Yahoo;tuto;Top3;1
Google;javat;Top3;1
Google;geeks;Top1;1
Bing;stack;Top1;1
Yahoo;geeks;Top2;1
Bing;geeks;Top2;1
Bing;geeks;Top3;0.9333333333333333
Yahoo;geeks;Top2;0.9333333333333333
Google;javat;Top2;0.9333333333333333
Google;stack;Top4;1
Bing;code;Top4;1
Bing;javat;Top2;0.9333333333333333
Google;geeks;Top1;0.9333333333333333
Yahoo;code;Top4;1
Yahoo;javat;Top3;0.9333333333333333
Bing;geeks;Top2;0.1333333333333333
Bing;javat;Top4;0.5333333333333333
Google;geeks;Top2;0.1333333333333333
Yahoo;stack;Top5;0.9333333333333333
Bing;javat;Top1;0.5333333333333333
Google;javat;Top1;0.5333333333333333
Yahoo;javat;Top2;0.5333333333333333
Google;stack;Top4;0.9333333333333333
Yahoo;geeks;Top1;0.1333333333333333
Google;stack;Top2;1
Google;stack;Top2;1
Google;stack;Top1;1
Google;geeks;Top1;1
Bing;geeks;Top5;1
Yahoo;tuto;Top1;1
Bing;tuto;Top1;1
Bing;stack;Top4;1
Yahoo;stack;Top5;1
Google;stack;Top1;1
Bing;stack;Top5;1
Google;geeks;Top5;1
Yahoo;tuto;Top3;0.9333333333333333
Bing;stack;Top5;1
Yahoo;stack;Top4;1
Google;stack;Top1;1
Bing;tuto;Top1;1
Bing;stack;Top3;1
Google;stack;Top2;0.9333333333333333
Yahoo;tuto;Top5;0.9333333333333333
Google;tuto;Top3;1
Yahoo;stack;Top3;1
Bing;tuto;Top5;0.9333333333333333
Yahoo;tuto;Top1;1
Bing;stack;Top1;0.8
Yahoo;stack;Top1;0.8
Bing;tuto;Top4;0.9333333333333333
Bing;stack;Top5;1
Google;stack;Top2;0.8666666666666667
Yahoo;stack;Top1;0.9333333333333333
Bing;stack;Top1;1
Yahoo;javat;Top2;0.6
Bing;javat;Top2;0.6
Yahoo;stack;Top5;1
Google;javat;Top1;0.6
Google;geeks;Top2;0.8
Bing;javat;Top1;0.6
Bing;code;Top5;0.8
Google;stack;Top5;0.8
Google;javat;Top1;1
Google;geeks;Top3;1
Bing;geeks;Top1;1
Yahoo;geeks;Top1;1
Google;geeks;Top5;0.8666666666666667
Yahoo;geeks;Top2;0.9333333333333333
Yahoo;javat;Top3;0.8
Bing;geeks;Top2;0.9333333333333333
Bing;javat;Top3;0.8
Yahoo;geeks;Top1;0.8666666666666667
Google;javat;Top1;0.8
Bing;geeks;Top1;0.8666666666666667
Yahoo;code;Top3;1
Bing;code;Top3;1
Yahoo;stack;Top5;1
Yahoo;code;Top2;1
Bing;code;Top2;1
Bing;stack;Top4;1
Bing;stack;Top5;0.9333333333333333
Bing;stack;Top1;1
Yahoo;stack;Top4;0.9333333333333333
Yahoo;stack;Top1;1
Bing;stack;Top3;1
Google;stack;Top1;0.9333333333333333
Yahoo;stack;Top5;1
Bing;tuto;Top3;1
Google;geeks;Top2;0.6666666666666667
Yahoo;tuto;Top2;1
Yahoo;tuto;Top5;0.8
Bing;tuto;Top5;0.8
Bing;geeks;Top2;1
Yahoo;geeks;Top2;1
Google;geeks;Top2;1
Google;javat;Top4;0.4666666666666667
Yahoo;tuto;Top2;0.9333333333333333
Google;geeks;Top4;0.9333333333333333
Google;stack;Top1;1
Bing;stack;Top1;1
Yahoo;stack;Top3;1
Bing;stack;Top5;1
Google;geeks;Top1;0.9333333333333333
Yahoo;stack;Top3;1
Google;geeks;Top2;0.6666666666666667
Google;stack;Top5;0.8666666666666667
Bing;stack;Top3;1
Google;tuto;Top5;1
Bing;geeks;Top4;1
Yahoo;tuto;Top1;1
Yahoo;geeks;Top4;1
Bing;tuto;Top1;1
Google;stack;Top2;1
Yahoo;stack;Top4;0.6
Yahoo;stack;Top2;1
Bing;stack;Top3;1
Yahoo;stack;Top5;1
Bing;stack;Top4;0.6
Bing;tuto;Top4;1
Google;geeks;Top5;1
Google;geeks;Top4;1
Google;stack;Top1;1
Bing;tuto;Top1;1
Google;stack;Top1;1
Google;tuto;Top3;1
Bing;tuto;Top3;1
Bing;stack;Top2;1
Yahoo;stack;Top2;1
Yahoo;tuto;Top1;1
Google;javat;Top4;0.9333333333333333
Yahoo;geeks;Top2;0.9333333333333333
Google;geeks;Top1;0.9333333333333333
Yahoo;javat;Top1;0.9333333333333333
Bing;javat;Top1;0.9333333333333333
Google;stack;Top2;1
Bing;geeks;Top2;0.9333333333333333
Google;stack;Top2;1
Bing;geeks;Top5;1
Bing;geeks;Top2;0.9333333333333333
Yahoo;stack;Top4;1
Yahoo;geeks;Top1;0.9333333333333333
Google;stack;Top2;1
Bing;stack;Top4;1
Google;geeks;Top1;0.9333333333333333
Google;geeks;Top3;0.9333333333333333
Yahoo;code;Top3;0.9333333333333333
Yahoo;tuto;Top4;1
Bing;code;Top3;0.9333333333333333
Bing;tuto;Top4;1
Google;stack;Top2;0.8
Bing;stack;Top5;1
Google;stack;Top2;1
Bing;javat;Top1;0.9333333333333333
Yahoo;javat;Top1;0.9333333333333333
Google;geeks;Top1;0.9333333333333333
Bing;geeks;Top2;0.9333333333333333
Yahoo;geeks;Top2;0.9333333333333333
Google;javat;Top4;0.9333333333333333
Bing;javat;Top5;1
Google;stack;Top4;1
Yahoo;javat;Top4;1
Yahoo;stack;Top1;0.9333333333333333
Google;stack;Top1;0.9333333333333333
Bing;stack;Top3;0.9333333333333333
Google;geeks;Top5;1
Bing;geeks;Top2;1
Yahoo;geeks;Top1;1
Bing;stack;Top5;0.9333333333333333
Bing;stack;Top2;0.9333333333333333
Yahoo;stack;Top1;0.9333333333333333
Yahoo;javat;Top5;1
Yahoo;geeks;Top2;1
Google;geeks;Top3;1
Google;stack;Top5;0.9333333333333333
Bing;javat;Top5;1
Yahoo;tuto;Top5;1
Bing;tuto;Top1;1
Yahoo;javat;Top5;1
Google;javat;Top5;1
Bing;javat;Top4;1
Google;geeks;Top5;1
Bing;geeks;Top2;1
Yahoo;geeks;Top2;1
Yahoo;geeks;Top4;0.9333333333333333
Google;geeks;Top4;0.9333333333333333
Yahoo;tuto;Top3;1
Bing;geeks;Top4;0.9333333333333333
Google;tuto;Top2;1
Bing;stack;Top5;0.9333333333333333
Bing;tuto;Top3;1
Google;stack;Top1;1
Yahoo;stack;Top5;0.8666666666666667
Bing;stack;Top4;1
Bing;stack;Top5;1
Yahoo;tuto;Top4;0.9333333333333333
Yahoo;tuto;Top5;1
Yahoo;tuto;Top3;1
Bing;stack;Top2;1
Google;stack;Top1;1
Bing;tuto;Top3;1
Yahoo;stack;Top1;0.9333333333333333
Bing;stack;Top1;0.9333333333333333
Google;geeks;Top4;0.9333333333333333
Google;stack;Top2;0.9333333333333333
Google;stack;Top5;1
Google;geeks;Top1;1
Yahoo;geeks;Top1;1
Bing;geeks;Top1;1
Google;stack;Top2;1
Bing;stack;Top5;1
Bing;code;Top4;1
Bing;stack;Top3;0.9333333333333333
Yahoo;stack;Top1;0.9333333333333333
Bing;geeks;Top5;0.9333333333333333
Yahoo;code;Top4;1
Google;stack;Top2;0.9333333333333333
Yahoo;geeks;Top5;0.9333333333333333
Google;tuto;Top4;1
Bing;geeks;Top1;1
Yahoo;geeks;Top1;1
Google;stack;Top5;0.8
Google;geeks;Top1;1
Yahoo;tuto;Top1;0.8666666666666667
Google;geeks;Top4;0.9333333333333333
Bing;tuto;Top1;0.8666666666666667
Yahoo;geeks;Top2;0.8666666666666667
Bing;geeks;Top2;0.8666666666666667
Yahoo;geeks;Top5;1
Yahoo;javat;Top5;0
Google;javat;Top1;0
Google;geeks;Top2;0.9333333333333333
Google;stack;Top3;1
Yahoo;geeks;Top4;0.9333333333333333
